geoh2_well_subsurface.initial_wellhead_flow,geoh2_well_subsurface.site_prospectivity,geoh2_well_subsurface.borehole_depth,geoh2_well_surface.electricity_price,geoh2_well_surface.op_labor_rate,geoh2_well_subsurface.success_chance,geoh2_well_subsurface.permit_fees,geoh2_well_subsurface.acreage,geoh2_well_subsurface.contingency_pct
4000,0.9,300,0.0832,70,20,905,500,50
2000,0.9,300,0.0832,70,20,905,500,50
6000,0.9,300,0.0832,70,20,905,500,50
4000,0.85,300,0.0832,70,20,905,500,50
4000,0.95,300,0.0832,70,20,905,500,50
4000,0.9,150,0.0832,70,20,905,500,50
4000,0.9,450,0.0832,70,20,905,500,50
4000,0.9,300,0.0416,70,20,905,500,50
4000,0.9,300,0.1248,70,20,905,500,50
4000,0.9,300,0.0832,35,20,905,500,50
4000,0.9,300,0.0832,105,20,905,500,50
4000,0.9,300,0.0832,70,10,905,500,50
4000,0.9,300,0.0832,70,30,905,500,50
4000,0.9,300,0.0832,70,20,457.5,500,50
4000,0.9,300,0.0832,70,20,1362.5,500,50
4000,0.9,300,0.0832,70,20,905,250,50
4000,0.9,300,0.0832,70,20,905,750,50
4000,0.9,300,0.0832,70,20,905,500,25
4000,0.9,300,0.0832,70,20,905,500,75
