Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,611351,-,-,-,32.33,-100.18,-6,761,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Dew Point
2013,1,1,0,30,0,0,0,3.5,1.5,170.13,929,-1.8
2013,1,1,1,30,0,0,0,3.7,0.1,166.24,930,-1.8
2013,1,1,2,30,0,0,0,3.7,-1.1,154.88,931,-2.1
2013,1,1,3,30,0,0,0,3.6,-1.9000000000000001,142.39000000000001,931,-3.1
2013,1,1,4,30,0,0,0,3.5,-2.4000000000000004,129.73,931,-4.3
2013,1,1,5,30,0,0,0,3.4000000000000004,-2.9000000000000004,117.18,932,-5.1000000000000005
2013,1,1,6,30,0,0,0,3.3000000000000003,-3.4000000000000004,104.92,933,-5.5
2013,1,1,7,30,0,0,0,3.6,-3.5,93.15,934,-5.800000000000001
2013,1,1,8,30,65,51,99,4.1000000000000005,-2.4000000000000004,82,934,-6
2013,1,1,9,30,305,56,812,4,-0.6000000000000001,72.14,935,-6
2013,1,1,10,30,391,112,634,3.9000000000000004,1.3,63.9,935,-6.1000000000000005
2013,1,1,11,30,417,218,377,3.8000000000000003,3.1,58.04,934,-6.300000000000001
2013,1,1,12,30,466,230,415,3.7,4.5,55.35,934,-6.2
2013,1,1,13,30,503,161,617,3.8000000000000003,5.4,56.300000000000004,933,-6.2
2013,1,1,14,30,462,102,735,3.9000000000000004,5.6000000000000005,60.7,933,-6.2
2013,1,1,15,30,300,123,471,3.9000000000000004,4.9,67.89,933,-6.4
2013,1,1,16,30,189,43,650,3,3.1,77.05,934,-6.5
2013,1,1,17,30,20,20,0,2.2,1.8,87.42,934,-6.2
2013,1,1,18,30,0,0,0,2.1,0,99.13,935,-6.300000000000001
2013,1,1,19,30,0,0,0,2.1,-0.8,111.18,935,-6.6000000000000005
2013,1,1,20,30,0,0,0,2,-1.6,123.60000000000001,936,-6.800000000000001
2013,1,1,21,30,0,0,0,1.7000000000000002,-2.2,136.23,936,-7
2013,1,1,22,30,0,0,0,1.5,-2.7,148.86,936,-7.2
2013,1,1,23,30,0,0,0,1.3,-3.1,160.99,936,-7.4
2013,1,2,0,30,0,0,0,1.1,-3.4000000000000004,170.02,936,-7.5
2013,1,2,1,30,0,0,0,0.9,-3.8000000000000003,166.25,936,-7.6000000000000005
2013,1,2,2,30,0,0,0,0.9,-4.1000000000000005,154.94,936,-7.7
2013,1,2,3,30,0,0,0,0.9,-4.2,142.45000000000002,936,-7.7
2013,1,2,4,30,0,0,0,0.9,-4.3,129.79,936,-7.800000000000001
2013,1,2,5,30,0,0,0,0.9,-4.3,117.24000000000001,936,-7.800000000000001
2013,1,2,6,30,0,0,0,0.8,-4.3,104.97,936,-7.800000000000001
2013,1,2,7,30,0,0,0,1.2000000000000002,-3.6,93.19,936,-7.9
2013,1,2,8,30,64,51,97,1.8,-2,82.03,936,-7.7
2013,1,2,9,30,226,103,403,2,0,72.14,936,-7.7
2013,1,2,10,30,387,117,615,2.3000000000000003,2,63.88,936,-7.4
2013,1,2,11,30,490,134,672,2.6,4,57.99,936,-6.9
2013,1,2,12,30,522,163,630,2.8000000000000003,5.9,55.27,935,-6.6000000000000005
2013,1,2,13,30,517,147,663,2.8000000000000003,7.300000000000001,56.19,934,-6.7
2013,1,2,14,30,534,65,953,2.6,7.9,60.57,933,-7
2013,1,2,15,30,397,58,896,1.9000000000000001,7.6000000000000005,67.75,933,-7.1000000000000005
2013,1,2,16,30,216,45,757,1.2000000000000002,5.6000000000000005,76.91,933,-5.9
2013,1,2,17,30,35,18,361,1,4.1000000000000005,87.29,933,-5.2
2013,1,2,18,30,0,0,0,1.3,1,98.99000000000001,934,-6.4
2013,1,2,19,30,0,0,0,1.3,-0.2,111.04,935,-6.6000000000000005
2013,1,2,20,30,0,0,0,1.3,-0.9,123.47,936,-6.800000000000001
2013,1,2,21,30,0,0,0,1.2000000000000002,-1.2000000000000002,136.1,936,-6.800000000000001
2013,1,2,22,30,0,0,0,1,-1.3,148.72,937,-6.7
2013,1,2,23,30,0,0,0,0.8,-1.4000000000000001,160.85,937,-6.7
2013,1,3,0,30,0,0,0,0.8,-1.8,169.89000000000001,937,-6.7
2013,1,3,1,30,0,0,0,1,-2.7,166.25,937,-6.7
2013,1,3,2,30,0,0,0,1.1,-3.8000000000000003,154.99,937,-6.7
2013,1,3,3,30,0,0,0,1.2000000000000002,-4.7,142.51,938,-6.7
2013,1,3,4,30,0,0,0,1.3,-5,129.85,938,-6.800000000000001
2013,1,3,5,30,0,0,0,1.4000000000000001,-5.1000000000000005,117.29,939,-6.7
2013,1,3,6,30,0,0,0,1.6,-4.9,105.02,939,-6.6000000000000005
2013,1,3,7,30,0,0,0,2.4000000000000004,-3.7,93.22,940,-6.300000000000001
2013,1,3,8,30,29,29,0,2.9000000000000004,-1.9000000000000001,82.04,940,-6
2013,1,3,9,30,117,113,13,3.2,0.8,72.14,941,-5.5
2013,1,3,10,30,297,190,242,3.5,3.3000000000000003,63.85,941,-5.2
2013,1,3,11,30,279,238,78,3.5,4.800000000000001,57.93,940,-5.6000000000000005
2013,1,3,12,30,450,244,359,3.4000000000000004,5.800000000000001,55.18,939,-6
2013,1,3,13,30,455,225,411,3.3000000000000003,6.300000000000001,56.07,939,-6.6000000000000005
2013,1,3,14,30,138,138,0,3.3000000000000003,6.300000000000001,60.44,938,-7.300000000000001
2013,1,3,15,30,151,143,19,3,5.800000000000001,67.61,938,-7.800000000000001
2013,1,3,16,30,35,35,0,1.9000000000000001,4,76.77,939,-7.800000000000001
2013,1,3,17,30,16,16,0,1,2.6,87.15,939,-5.5
2013,1,3,18,30,0,0,0,1.1,1.2000000000000002,98.84,939,-5.800000000000001
2013,1,3,19,30,0,0,0,1.1,0.9,110.9,940,-5.800000000000001
2013,1,3,20,30,0,0,0,0.9,0.8,123.33,940,-5.7
2013,1,3,21,30,0,0,0,0.9,0.7000000000000001,135.96,941,-5.5
2013,1,3,22,30,0,0,0,0.8,0.7000000000000001,148.58,941,-5.6000000000000005
2013,1,3,23,30,0,0,0,0.6000000000000001,0.9,160.70000000000002,941,-5.9
2013,1,4,0,30,0,0,0,0.30000000000000004,0.9,169.76,941,-5.9
2013,1,4,1,30,0,0,0,0.4,0.30000000000000004,166.25,941,-5.5
2013,1,4,2,30,0,0,0,0.7000000000000001,-0.5,155.03,941,-5.300000000000001
2013,1,4,3,30,0,0,0,0.7000000000000001,-1.1,142.56,940,-4.9
2013,1,4,4,30,0,0,0,0.8,-1.4000000000000001,129.9,940,-4.800000000000001
2013,1,4,5,30,0,0,0,0.9,-1.7000000000000002,117.34,940,-4.800000000000001
2013,1,4,6,30,0,0,0,0.9,-1.9000000000000001,105.06,941,-4.800000000000001
2013,1,4,7,30,0,0,0,0.8,-1.2000000000000002,93.25,941,-4.800000000000001
2013,1,4,8,30,43,43,0,1.4000000000000001,0.5,82.06,942,-4.1000000000000005
2013,1,4,9,30,79,79,0,2.4000000000000004,2,72.13,942,-3.6
2013,1,4,10,30,192,177,34,2.9000000000000004,2.9000000000000004,63.81,942,-3.5
2013,1,4,11,30,224,209,27,3,3.6,57.86,941,-3.4000000000000004
2013,1,4,12,30,269,243,44,2.9000000000000004,3.9000000000000004,55.08,940,-3.2
2013,1,4,13,30,315,259,99,2.7,4.1000000000000005,55.94,939,-3
2013,1,4,14,30,270,223,94,2.4000000000000004,4.1000000000000005,60.300000000000004,938,-2.9000000000000004
2013,1,4,15,30,193,162,79,2.2,3.7,67.46000000000001,938,-2.7
2013,1,4,16,30,116,91,107,1.5,2.6,76.62,938,-2.6
2013,1,4,17,30,17,17,0,1,1.7000000000000002,87.01,938,-2.2
2013,1,4,18,30,0,0,0,0.9,0,98.7,938,-2.2
2013,1,4,19,30,0,0,0,1.2000000000000002,-0.5,110.76,938,-1.8
2013,1,4,20,30,0,0,0,1.7000000000000002,-1,123.19,938,-1.6
2013,1,4,21,30,0,0,0,2,-1.6,135.82,938,-1.6
2013,1,4,22,30,0,0,0,2.2,-2.2,148.44,938,-2.2
2013,1,4,23,30,0,0,0,2.5,-2.5,160.56,937,-2.5
2013,1,5,0,30,0,0,0,2.8000000000000003,-2.6,169.62,937,-2.6
2013,1,5,1,30,0,0,0,3.2,-2.3000000000000003,166.24,937,-2.3000000000000003
2013,1,5,2,30,0,0,0,3.4000000000000004,-2.3000000000000003,155.07,937,-2.3000000000000003
2013,1,5,3,30,0,0,0,3.4000000000000004,-2.4000000000000004,142.61,936,-2.4000000000000004
2013,1,5,4,30,0,0,0,3.3000000000000003,-2.7,129.95,936,-2.7
2013,1,5,5,30,0,0,0,3.4000000000000004,-2.8000000000000003,117.38,936,-2.8000000000000003
2013,1,5,6,30,0,0,0,3.5,-3,105.09,936,-3
2013,1,5,7,30,0,0,0,3.9000000000000004,-2.5,93.27,936,-2.8000000000000003
2013,1,5,8,30,120,33,630,4.5,-0.9,82.06,936,-2.5
2013,1,5,9,30,314,48,866,4.6000000000000005,1.6,72.12,936,-1.9000000000000001
2013,1,5,10,30,479,56,959,4.5,4.5,63.77,936,-1.6
2013,1,5,11,30,594,59,1003,4.4,7.4,57.79,935,-2.6
2013,1,5,12,30,645,59,1022,4.2,9.700000000000001,54.97,934,-4.7
2013,1,5,13,30,630,58,1017,4,11.100000000000001,55.81,933,-6.1000000000000005
2013,1,5,14,30,548,54,992,3.5,11.700000000000001,60.15,933,-6.6000000000000005
2013,1,5,15,30,408,48,935,2.4000000000000004,11.100000000000001,67.31,933,-6.6000000000000005
2013,1,5,16,30,227,38,806,1.4000000000000001,8.6,76.47,933,-2.1
2013,1,5,17,30,42,17,449,1.2000000000000002,6.9,86.87,933,-3.7
2013,1,5,18,30,0,0,0,1.2000000000000002,5.2,98.55,934,-5.800000000000001
2013,1,5,19,30,0,0,0,1.3,3.6,110.61,935,-6.1000000000000005
2013,1,5,20,30,0,0,0,1.5,1.9000000000000001,123.05,936,-6.300000000000001
2013,1,5,21,30,0,0,0,1.7000000000000002,0.5,135.68,936,-6.6000000000000005
2013,1,5,22,30,0,0,0,1.9000000000000001,-0.6000000000000001,148.3,937,-7
2013,1,5,23,30,0,0,0,2.2,-1.5,160.41,937,-7.5
2013,1,6,0,30,0,0,0,2.3000000000000003,-2.2,169.48,938,-7.9
2013,1,6,1,30,0,0,0,2.3000000000000003,-2.9000000000000004,166.22,938,-8.200000000000001
2013,1,6,2,30,0,0,0,2.3000000000000003,-3.5,155.1,938,-8.3
2013,1,6,3,30,0,0,0,2.3000000000000003,-4,142.65,939,-8.200000000000001
2013,1,6,4,30,0,0,0,2.3000000000000003,-4.5,129.99,939,-8
2013,1,6,5,30,0,0,0,2.2,-4.800000000000001,117.42,939,-7.5
2013,1,6,6,30,0,0,0,2.1,-5,105.12,940,-7
2013,1,6,7,30,0,0,0,2.5,-3.8000000000000003,93.29,940,-6.6000000000000005
2013,1,6,8,30,121,29,663,2.9000000000000004,-1.1,82.06,940,-5.9
2013,1,6,9,30,313,42,879,2.5,2.2,72.10000000000001,941,-5
2013,1,6,10,30,478,50,968,2.5,5.9,63.72,941,-4.3
2013,1,6,11,30,592,52,1011,2.5,8.5,57.71,940,-4.800000000000001
2013,1,6,12,30,647,58,1023,2.2,10,54.86,939,-5
2013,1,6,13,30,632,56,1021,2,10.8,55.67,938,-5
2013,1,6,14,30,551,53,995,2,11,60,938,-5.2
2013,1,6,15,30,412,48,936,1.7000000000000002,10.3,67.15,937,-5.2
2013,1,6,16,30,230,38,810,1.3,7.7,76.31,937,-3.1
2013,1,6,17,30,44,18,461,1.2000000000000002,5.6000000000000005,86.72,937,-3
2013,1,6,18,30,0,0,0,1.4000000000000001,2.8000000000000003,98.4,937,-4.7
2013,1,6,19,30,0,0,0,1.5,1.7000000000000002,110.46000000000001,937,-5.1000000000000005
2013,1,6,20,30,0,0,0,1.5,0.7000000000000001,122.9,937,-5.4
2013,1,6,21,30,0,0,0,1.5,-0.1,135.54,937,-5.7
2013,1,6,22,30,0,0,0,1.6,-0.8,148.15,937,-6
2013,1,6,23,30,0,0,0,1.6,-1.5,160.25,937,-6.1000000000000005
2013,1,7,0,30,0,0,0,1.7000000000000002,-1.9000000000000001,169.32,936,-6.1000000000000005
2013,1,7,1,30,0,0,0,1.7000000000000002,-1.8,166.19,936,-6
2013,1,7,2,30,0,0,0,1.6,-1.7000000000000002,155.13,935,-5.9
2013,1,7,3,30,0,0,0,1.5,-2.1,142.69,935,-5.7
2013,1,7,4,30,0,0,0,1.4000000000000001,-3,130.03,935,-5.6000000000000005
2013,1,7,5,30,0,0,0,1.4000000000000001,-3.7,117.45,935,-5.6000000000000005
2013,1,7,6,30,0,0,0,1.5,-3.5,105.15,935,-5.4
2013,1,7,7,30,0,0,0,1.9000000000000001,-2,93.3,935,-5.2
2013,1,7,8,30,79,47,229,2.6,-0.1,82.06,935,-4.800000000000001
2013,1,7,9,30,250,83,540,2.9000000000000004,1.7000000000000002,72.07000000000001,935,-4.6000000000000005
2013,1,7,10,30,279,197,185,3.3000000000000003,4.3,63.660000000000004,934,-4.1000000000000005
2013,1,7,11,30,374,245,242,4,6.9,57.620000000000005,933,-4.4
2013,1,7,12,30,419,267,263,4,8,54.74,932,-5.1000000000000005
2013,1,7,13,30,394,265,228,3.6,8.1,55.53,931,-5
2013,1,7,14,30,398,199,395,3.4000000000000004,8.200000000000001,59.84,931,-4.7
2013,1,7,15,30,198,167,79,3.1,8,66.98,930,-4.4
2013,1,7,16,30,225,45,753,2.2,5.7,76.15,930,-3.7
2013,1,7,17,30,25,22,52,1.5,3.7,86.57000000000001,930,-3
2013,1,7,18,30,0,0,0,1.8,1.5,98.25,930,-3.5
2013,1,7,19,30,0,0,0,2,1.5,110.32000000000001,930,-3.3000000000000003
2013,1,7,20,30,0,0,0,2.2,1.3,122.76,929,-3
2013,1,7,21,30,0,0,0,2.2,1.1,135.39000000000001,929,-2.8000000000000003
