site.latitude,site.longitude
44.357,-103.604
33.761,-104.96
39.102,-117.3
39.179,-94.644
31.386,-81.953
29.524,-104.213
40.639,-94.179
35.729,-106.431
34.617,-105.467
30.921,-100.583
42.135,-74.231
32.551,-110.382
48.482,-103.337
34.992,-108.063
46.922,-119.259
34.148,-79.94
42.172,-102.296
41.466,-109.6
38.545,-99.845
39.836,-86.466
43.533,-102.437
44.836,-72.268
44.788,-124.028
34.454,-112.779
48.067,-101.478
41.369,-111.505
46.149,-122.717
41.802,-117.325
45.299,-105.921
48.935,-112.962
42.825,-110.812
43.574,-123.454
43.297,-83.034
46.646,-117.011
37.903,-94.254
43.942,-98.66
43.012,-71.59
41.522,-97.383
31.931,-81.462
37.604,-103.529
32.148,-109.527
47.44,-116.312
29.211,-96.544
26.183,-97.47
33.482,-112.55
36.927,-90.719
43.745,-75.672
40.915,-93.153
31.801,-107.024
32.365,-90.279
45.619,-97.165
42.882,-124.39
43.582,-71.984
37.614,-94.676
35.849,-94.845
39.287,-121.455
41.22,-123.012
38.376,-93.262
34.983,-82.844
38.785,-86.901
42.137,-120.802
37.274,-78.633
46.402,-119.374
32.114,-110.684
30,-97.668
49.333,-95.065
38.792,-95.074
46.815,-123.536
43.299,-120.502
37.088,-120.751
40.062,-96.921
30.756,-99.568
45.742,-106.629
39.341,-123.248
42.581,-74.531
40.149,-117.653
35.737,-98.208
42.146,-104.673
38.181,-90.2
42.145,-119.58
45.929,-113.206
35.065,-95.39
42.022,-112.72
28.509,-96.661
39.755,-98.202
33.776,-111.027
32.309,-87.584
35.821,-93.094
31.908,-86.222
44.442,-70.516
40.223,-92.752
34.807,-113.134
37.222,-113.751
33.964,-98.153
42.086,-89.986
46.357,-114.63
34.049,-82.488
40.62,-89.979
40.636,-76.972
31.899,-105.885
34.279,-87.351
31.6,-109.042
45.176,-68.408
31.846,-106.519
31.892,-81.985
42.951,-86.133
47.906,-117.318
39.202,-87.27
36.139,-97.545
33.46,-84.569
48.905,-99.562
38.203,-77.393
43.823,-107.365
35.297,-104.218
