,site.latitude (deg),site.longitude (deg),iron.LCOE (USD/MW/h),iron.LCOH (USD/kg),iron.LCOI (USD/kg)
0,39.179,-94.644,58.24602573,7.819127689,0.7397575877065189
1,40.639,-94.179,51.41859144,6.486845574,0.6645510235049574
2,42.135,-74.231,54.87195632,9.087358988,0.8103685686602611
3,39.836,-86.466,54.08137179,7.389792328,0.7153268718671882
4,44.836,-72.268,79.67190898,11.19138114,0.9305307102908987
5,43.297,-83.034,54.46538588,7.030717938,0.6952780794865759
6,41.522,-97.383,48.48607904,6.892715924,0.6869646730441603
7,43.745,-75.672,50.22448696,7.602515656,0.7268439766785298
8,40.915,-93.153,50.25523396,6.52284299,0.6664492808830237
9,45.619,-97.165,48.01464159,6.479866149,0.6638227367462083
10,38.376,-93.262,57.32420626,8.084316033,0.75450094122482
11,38.785,-86.901,58.74660238,8.268727655,0.7649582510664614
12,38.792,-95.074,48.66910731,6.576432804,0.6692897098943401
13,40.062,-96.921,44.62706297,6.200145885,0.6478387354547906
14,42.581,-74.531,50.90152862,7.3545067,0.7130373568589313
15,38.181,-90.2,61.38834601,8.610442044,0.7843362266631179
16,40.223,-92.752,53.7541996,6.87663279,0.6865878464147088
17,42.086,-89.986,53.37882952,6.524971783,0.666878393430948
18,40.62,-89.979,55.65806989,6.908352618,0.6885512436217368
19,40.636,-76.972,72.45617197,10.64305592,0.8991407780207546
20,42.951,-86.133,57.35833333,7.43043708,0.7179258198216066
21,39.202,-87.27,58.58810594,8.045451544,0.7524522766163338
22,38.203,-77.393,62.42842963,9.521704146,0.8354161847153931
23,43.868,-95.759,47.11402471,6.460728066,0.6626627482527715
24,42.812,-85.552,56.82341805,7.716463431,0.7338732694172463
25,38.52,-87.36,58.5870948,8.369258517,0.7705661958291573
26,42.11,-97.1,45.42147075,6.29428234,0.6531836509491429
27,38.254,-89.635,56.84951183,7.714561563,0.7337694672943814
28,44.643,-83.831,61.33378629,8.702613374,0.7894869489460453
29,44.928,-94.048,52.33871303,7.085928629,0.6981555308238622
30,44.638,-97.764,48.19730942,7.497728876,0.7207809174591054
31,45.4,-93.094,56.28973232,7.594526158,0.7269990314968532
32,42.872,-78.108,52.58970512,8.079507383,0.753762028162296
33,42.664,-77.255,55.44160432,8.457847794,0.7752097511228947
34,38.894,-83.34,60.22555006,9.13484917,0.8135565673514396
35,41.968,-75.805,59.60083702,8.59590163,0.7833454087429216
36,39.168,-93.795,53.07708032,7.103576468,0.6992160501271748
37,44.997,-89.535,56.21071969,7.077430089,0.6980644239461755
38,42.003,-97.985,46.90393923,6.553646022,0.6678398009923863
39,40.301,-83.642,52.54980459,7.387797164,0.7150632481943188
40,42.211,-96.508,47.72590301,6.594923107,0.6702304563086223
41,41.913,-94.733,48.41150834,6.364914313,0.6574316298354063
42,40.119,-76.833,63.20207239,9.408568091,0.8291640501803251
43,46.295,-97.814,50.4352344,6.861520616,0.685413042189429
44,41.415,-84.014,57.72454279,7.748746212,0.7357686331765151
45,40.169,-88.725,55.9963289,6.822567835,0.6837859478573698
46,41.603,-93.416,50.76824359,6.498809353,0.6651557378526034
47,44.258,-96.218,48.08888229,6.484302926,0.6640783021907359
48,42.783,-75.227,58.89441507,8.518178578,0.7789274049208841
49,43.47,-94.398,48.64393387,6.650122757,0.6734094859268207
50,46.891,-96.389,52.22032516,7.525073042,0.7227098681598818
51,44.308,-85.91,58.17542757,6.947540066,0.6909932758830798
52,42.469,-73.805,70.30200869,10.48294073,0.8899699998335784
53,38.72,-77.532,67.57701181,10.59481219,0.8959577142028968
54,46.819,-91.258,65.65937746,8.981078822,0.8054938553755117
55,39.284,-88.681,54.93068491,7.231633641,0.7065636460034721
56,40.095,-74.638,57.41269903,8.39533146,0.7719081747121379
