Census Division
and State	November 2025	November 2024	November 2025	November 2024	November 2025	November 2024	November 2025	November 2024	November 2025	November 2024
New England	28.86	28.91	22.46	21.65	17.62	16.80	12.71	13.34	24.41	23.92
Connecticut	27.02	29.15	21.19	22.73	17.70	17.97	17.33	17.45	23.58	25.07
Maine	27.85	25.17	20.78	18.51	15.89	12.72	--	--	22.95	20.19
Massachusetts	31.22	30.22	23.93	20.82	19.03	18.33	9.09	9.42	25.91	24.06
New Hampshire	27.37	24.46	20.39	19.35	16.86	16.32	--	--	22.89	20.91
Rhode Island	30.82	35.61	22.63	32.31	22.24	22.73	23.30	24.07	25.69	32.75
Vermont	24.17	25.16	21.03	20.21	12.60	12.22	--	--	20.31	20.16
Middle Atlantic	23.06	20.89	17.03	15.23	10.21	8.39	14.38	12.76	17.91	15.69
New Jersey	22.73	19.58	15.90	14.60	13.64	11.86	11.25	11.14	18.27	16.19
New York	26.49	24.74	19.77	17.67	8.95	9.00	15.70	13.47	20.70	18.86
Pennsylvania	20.17	18.04	13.02	11.32	10.20	7.77	9.21	8.97	14.90	12.39
East North Central	18.28	17.09	13.40	11.96	9.16	8.02	9.22	8.24	13.46	12.02
Illinois	18.31	17.06	13.21	11.54	9.96	8.83	8.81	7.78	13.72	12.10
Indiana	17.41	16.24	14.02	12.92	8.95	8.13	14.45	15.06	12.77	11.60
Michigan	19.94	18.84	14.31	13.38	8.46	8.09	13.60	12.83	14.42	13.52
Ohio	17.66	16.47	12.93	10.74	9.33	7.27	10.50	9.00	13.26	11.18
Wisconsin	18.39	16.93	12.87	12.31	8.64	7.82	19.35	17.01	13.13	12.18
West North Central	13.89	13.35	10.19	9.70	7.65	7.28	11.14	9.57	10.43	9.96
Iowa	13.55	13.18	10.47	10.04	6.36	6.24	--	--	8.82	8.72
Kansas	15.10	14.67	11.27	11.00	8.26	7.78	--	--	11.49	11.02
Minnesota	15.67	15.01	11.89	11.42	9.30	8.50	11.73	11.12	12.34	11.66
Missouri	13.12	12.53	9.97	9.42	7.84	7.24	10.79	8.71	10.90	10.29
Nebraska	12.52	11.96	8.56	7.99	7.50	7.11	--	--	9.16	8.69
North Dakota	11.93	11.31	7.40	6.80	7.55	7.18	--	--	8.24	7.71
South Dakota	13.81	13.27	11.29	10.71	8.67	8.34	--	--	11.55	11.00
South Atlantic	15.86	14.91	11.64	10.65	7.92	7.46	11.59	10.10	12.74	11.83
Delaware	18.81	18.22	13.11	12.61	9.48	8.28	--	--	14.90	13.92
District of Columbia	22.72	18.93	21.97	17.09	18.77	12.95	10.04	9.90	21.60	17.16
Florida	15.78	14.23	11.88	11.02	9.05	8.34	11.43	10.91	13.65	12.48
Georgia	14.42	14.23	11.14	10.82	6.83	6.31	5.90	5.84	11.33	10.96
Maryland	21.34	18.40	15.46	13.08	12.47	10.19	15.05	11.92	17.90	15.23
North Carolina	14.64	14.86	10.58	10.72	7.69	7.74	10.34	11.12	11.76	11.89
South Carolina	15.53	15.62	11.19	11.28	6.71	6.75	--	--	11.21	11.04
Virginia	15.94	14.73	10.28	8.28	9.92	8.59	11.03	9.48	11.96	10.20
West Virginia	15.65	15.84	12.17	12.60	8.27	8.02	--	--	11.53	11.40
East South Central	14.51	14.26	13.11	12.65	7.09	6.70	--	--	11.44	11.05
Alabama	16.08	15.57	14.38	13.79	7.66	7.23	--	--	12.25	11.72
Kentucky	13.70	13.75	12.04	11.84	6.86	6.53	--	--	10.43	10.20
Mississippi	15.33	14.17	13.52	12.68	7.42	6.79	--	--	11.86	11.02
Tennessee	13.47	13.56	12.72	12.37	6.43	6.14	--	--	11.28	11.10
West South Central	15.13	14.70	8.65	8.68	6.45	5.91	6.56	6.92	9.59	9.23
Arkansas	13.22	12.64	10.89	10.13	6.53	6.78	13.55	13.32	9.54	9.43
Louisiana	12.74	11.99	11.19	10.49	5.88	5.05	10.85	11.05	9.09	8.26
Oklahoma	13.34	12.87	8.65	8.23	6.13	5.50	--	--	9.03	8.52
Texas	16.04	15.68	8.19	8.40	6.63	6.08	3.74	3.86	9.77	9.50
Mountain	14.74	14.00	10.94	10.77	7.53	7.15	10.70	10.22	11.09	10.72
Arizona	15.66	15.11	11.61	11.75	7.52	7.62	9.48	10.06	12.24	12.12
Colorado	16.35	14.90	12.62	11.67	9.12	8.07	9.82	9.06	12.87	11.82
Idaho	12.25	11.28	9.41	9.05	7.61	6.96	--	--	10.04	9.39
Montana	12.82	12.51	11.68	11.58	6.88	6.78	--	--	10.65	10.43
Nevada	14.20	15.25	9.13	9.65	7.59	6.49	9.73	9.10	10.09	10.26
New Mexico	15.61	13.98	10.89	10.23	5.37	5.52	--	--	8.87	8.78
Utah	13.07	12.20	9.62	9.56	7.76	7.40	12.44	12.14	10.19	9.81
Wyoming	13.91	12.75	9.47	9.66	8.79	8.43	--	--	9.84	9.55
Pacific Contiguous	24.07	22.46	19.82	18.14	13.69	14.45	17.81	16.13	20.04	18.91
California	31.91	30.18	24.45	22.48	19.32	20.02	18.63	16.81	25.89	24.45
Oregon	15.59	14.91	10.48	10.08	8.10	7.94	14.37	12.80	11.51	11.20
Washington	13.85	12.37	11.28	10.00	6.84	6.51	12.36	11.91	11.40	10.35
Pacific Noncontiguous	34.08	33.07	29.41	28.71	28.71	28.49	--	--	30.68	30.06
Alaska	26.18	24.81	22.00	21.25	21.08	20.45	--	--	23.22	22.36
Hawaii	40.20	39.66	36.49	35.61	31.84	31.50	--	--	35.82	35.27
U.S. Total	17.78	16.85	13.19	12.35	8.44	7.85	13.64	12.37	13.43	12.57
