Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2074501,-,Queensland,Australia,-27.35,152.66,0,227,10,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2013,1,1,0,30,26.900000000000002,0.62,0.11900000000000001,0.67,143,935,1026,1,17,143,935,0,1026,0.27,54.620000000000005,19.2,0.15,983,2.8000000000000003,70,1.1
2013,1,1,1,30,28.400000000000002,0.65,0.112,0.67,141,954,1089,7,16.5,698,98,0,795,0.269,48.43,6.75,0.15,982,2.8000000000000003,66,1.2000000000000002
2013,1,1,2,30,29.3,0.6900000000000001,0.1072,0.67,137,957,1081,8,16,674,75,0,748,0.268,44.59,9.46,0.15,982,2.8000000000000003,65,1.3
2013,1,1,3,30,29.6,0.74,0.1048,0.67,132,944,1005,8,15.700000000000001,647,114,0,753,0.267,42.89,22.36,0.15,981,2.8000000000000003,66,1.3
2013,1,1,4,30,29.400000000000002,0.78,0.10350000000000001,0.67,123,912,865,8,15.4,534,80,0,599,0.265,42.72,35.660000000000004,0.15,980,2.8000000000000003,68,1.4000000000000001
2013,1,1,5,30,28.900000000000002,0.79,0.1038,0.67,112,852,672,8,15.3,399,66,0,442,0.264,43.62,48.92,0.15,980,2.9000000000000004,68,1.4000000000000001
2013,1,1,6,30,27.900000000000002,0.79,0.1037,0.67,96,752,448,8,15.3,220,34,0,236,0.263,46.26,62.02,0.15,980,2.9000000000000004,67,1.5
2013,1,1,7,30,26.3,0.8,0.10260000000000001,0.67,70,561,217,8,15.8,95,19,3,100,0.263,52.32,74.81,0.15,981,2.9000000000000004,64,1.3
2013,1,1,8,30,24.5,0.8,0.1017,0.67,22,129,28,8,17.2,14,0,3,14,0.263,63.690000000000005,87.05,0.15,981,2.9000000000000004,61,1
2013,1,1,9,30,23.200000000000003,0.8,0.1,0.67,0,0,0,8,17.7,0,0,0,0,0.264,71.25,99.02,0.15,981,2.9000000000000004,57,0.9
