Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,792759,-,-,-,47.53,-92.54,-6,445,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2013,1,1,0,30,-24,1.19,0.014,0.62,0,0,0,0,0,-25.1,0,0,0,0,0.381,90.39,155.24,0.9,0.8,967,0.2,285,1.8,0.0000,0.0000
2013,1,1,1,30,-24.400000000000002,1.19,0.014,0.62,0,0,0,0,0,-25.400000000000002,0,0,0,0,0.382,91.5,151.1,0.9,0.8,967,0.2,275,1.8,0.0000,0.0000
2013,1,1,2,30,-24.700000000000003,1.2,0.015,0.62,0,0,0,0,0,-25.700000000000003,0,0,0,0,0.382,91,143.41,0.9,0.8,967,0.2,271,1.9000000000000001,0.0000,0.0000
2013,1,1,3,30,-25.1,1.22,0.015,0.62,0,0,0,0,0,-26.3,0,0,0,0,0.383,89.54,134.05,0.91,0.8,967,0.2,268,1.9000000000000001,0.0000,0.0000
2013,1,1,4,30,-25.200000000000003,1.22,0.016,0.62,0,0,0,0,1,-26.900000000000002,0,0,0,0,0.383,85.28,124.05,0.91,0.8,967,0.2,264,1.8,0.0000,0.0000
2013,1,1,5,30,-25,1.21,0.017,0.62,0,0,0,0,1,-27.3,0,0,0,0,0.383,80.93,113.95,0.91,0.8,966,0.2,258,1.8,0.0000,0.0000
2013,1,1,6,30,-24.700000000000003,1.21,0.017,0.62,0,0,0,0,0,-27.3,0,0,0,0,0.382,79.15,104.12,0.91,0.8,966,0.2,253,1.7000000000000002,0.0000,0.0000
2013,1,1,7,30,-24.3,1.19,0.018000000000000002,0.62,0,0,0,0,1,-27.200000000000003,0,0,0,0,0.382,76.67,94.87,0.91,0.8,965,0.2,248,1.8,0.0000,0.0000
2013,1,1,8,30,-22.900000000000002,1.18,0.018000000000000002,0.62,21,467,51,0,1,-26.8,21,467,0,51,0.382,70.56,86.32000000000001,0.91,0.8,965,0.30000000000000004,245,2.2,0.0000,0.0000
2013,1,1,9,30,-20.700000000000003,1.18,0.018000000000000002,0.62,40,731,174,0,1,-24.6,40,731,0,174,0.378,71.10000000000001,79.43,0.91,0.8,965,0.30000000000000004,247,3.2,8.2936,6.3244
2013,1,1,10,30,-19,1.21,0.018000000000000002,0.62,51,839,279,0,0,-22.6,51,839,0,279,0.372,72.92,74.19,0.92,0.8,964,0.30000000000000004,251,3.7,13.7421,10.5758
2013,1,1,11,30,-17.6,1.26,0.022,0.62,59,865,339,0,0,-21.200000000000003,59,865,0,339,0.369,73.49,71.11,0.93,0.8,963,0.4,252,3.7,17.1807,13.2852
2013,1,1,12,30,-16.3,1.28,0.029,0.62,64,861,351,0,0,-19.6,64,861,0,351,0.369,75.68,70.51,0.9500000000000001,0.8,962,0.4,254,3.7,17.8866,13.8422
2013,1,1,13,30,-15,1.28,0.035,0.62,62,812,307,0,0,-18.1,62,812,0,307,0.37,77.52,72.46000000000001,0.9500000000000001,0.8,961,0.5,256,3.6,15.3653,11.8583
2013,1,1,14,30,-14.200000000000001,1.25,0.037,0.62,53,729,221,0,4,-16.7,80,0,0,81,0.371,81.25,76.74,0.96,0.8,961,0.5,254,2.9000000000000004,3.9060,2.9922
2013,1,1,15,30,-14.200000000000001,1.24,0.041,0.62,36,537,102,7,4,-15.9,61,1,7,61,0.371,86.82000000000001,82.94,0.96,0.8,961,0.5,246,2,0.0000,0.0000
2013,1,1,16,30,-14.4,1.23,0.046,0.62,0,0,0,0,4,-16.3,0,0,0,0,0.371,85.32000000000001,90.84,0.96,0.8,961,0.5,236,1.7000000000000002,0.0000,0.0000
2013,1,1,17,30,-14.100000000000001,1.23,0.048,0.62,0,0,0,0,4,-16.2,0,0,0,0,0.371,83.87,99.7,0.96,0.8,961,0.6000000000000001,229,1.9000000000000001,0.0000,0.0000
2013,1,1,18,30,-13.600000000000001,1.21,0.05,0.62,0,0,0,0,4,-15.600000000000001,0,0,0,0,0.371,84.85000000000001,109.3,0.96,0.8,961,0.6000000000000001,225,2,0.0000,0.0000
2013,1,1,19,30,-13.3,1.2,0.052000000000000005,0.62,0,0,0,0,4,-15.100000000000001,0,0,0,0,0.372,85.99,119.3,0.96,0.8,960,0.6000000000000001,221,2,0.0000,0.0000
2013,1,1,20,30,-13.3,1.19,0.05,0.62,0,0,0,0,4,-14.9,0,0,0,0,0.372,87.73,129.4,0.96,0.8,960,0.6000000000000001,217,1.9000000000000001,0.0000,0.0000
2013,1,1,21,30,-13.5,1.17,0.049,0.62,0,0,0,0,4,-15,0,0,0,0,0.373,88.69,139.14000000000001,0.96,0.8,959,0.6000000000000001,214,1.8,0.0000,0.0000
2013,1,1,22,30,-13.8,1.16,0.047,0.62,0,0,0,0,4,-15.200000000000001,0,0,0,0,0.374,88.89,147.77,0.96,0.8,959,0.6000000000000001,212,1.7000000000000002,0.0000,0.0000
2013,1,1,23,30,-14,1.1500000000000001,0.042,0.62,0,0,0,0,4,-15.5,0,0,0,0,0.374,88.22,153.83,0.96,0.8,959,0.6000000000000001,209,1.6,0.0000,0.0000
2013,1,2,0,30,-14,1.1400000000000001,0.042,0.62,0,0,0,0,4,-15.700000000000001,0,0,0,0,0.375,87.11,155.16,0.96,0.8,959,0.6000000000000001,205,1.6,0.0000,0.0000
2013,1,2,1,30,-13.700000000000001,1.1500000000000001,0.041,0.62,0,0,0,0,4,-15.5,0,0,0,0,0.375,86.38,151.07,0.9500000000000001,0.8,959,0.6000000000000001,199,1.6,0.0000,0.0000
2013,1,2,2,30,-13.3,1.1500000000000001,0.038,0.62,0,0,0,0,4,-15.100000000000001,0,0,0,0,0.374,86.24,143.41,0.9500000000000001,0.8,959,0.6000000000000001,195,1.8,0.0000,0.0000
2013,1,2,3,30,-12.9,1.17,0.038,0.62,0,0,0,0,4,-14.8,0,0,0,0,0.374,85.72,134.06,0.9500000000000001,0.8,958,0.6000000000000001,194,2,0.0000,0.0000
2013,1,2,4,30,-12.5,1.19,0.039,0.62,0,0,0,0,4,-14.4,0,0,0,0,0.373,85.75,124.07000000000001,0.9500000000000001,0.8,958,0.6000000000000001,192,2.2,0.0000,0.0000
2013,1,2,5,30,-12.200000000000001,1.19,0.039,0.62,0,0,0,0,7,-14,0,0,0,0,0.372,86.31,113.97,0.9500000000000001,0.8,958,0.7000000000000001,189,2.2,0.0000,0.0000
2013,1,2,6,30,-12,1.19,0.04,0.62,0,0,0,0,7,-13.8,0,0,0,0,0.371,86.54,104.13,0.9500000000000001,0.8,959,0.7000000000000001,187,2.2,0.0000,0.0000
2013,1,2,7,30,-11.600000000000001,1.2,0.041,0.62,0,0,0,0,7,-13.600000000000001,0,0,0,0,0.368,84.96000000000001,94.87,0.9500000000000001,0.8,959,0.8,185,2.5,0.0000,0.0000
2013,1,2,8,30,-11.100000000000001,1.2,0.043000000000000003,0.62,23,346,45,7,4,-13.200000000000001,22,0,7,22,0.367,84.61,86.32000000000001,0.9500000000000001,0.8,959,0.8,182,2.9000000000000004,0.0000,0.0000
2013,1,2,9,30,-10.5,1.19,0.054,0.62,50,605,162,0,1,-12.5,50,605,0,162,0.367,85.51,79.4,0.96,0.8,959,0.8,179,3.2,7.7217,5.8886
2013,1,2,10,30,-9.9,1.1500000000000001,0.069,0.62,70,700,262,0,0,-11.8,70,700,0,262,0.366,86,74.14,0.97,0.8,959,0.8,185,3.4000000000000004,12.9106,9.9368
2013,1,2,11,30,-9.5,1.1400000000000001,0.077,0.62,81,742,322,0,4,-11.200000000000001,65,0,0,65,0.365,87.09,71.04,0.97,0.8,959,0.8,194,3.4000000000000004,3.2964,2.5492
2013,1,2,12,30,-9.3,1.1400000000000001,0.085,0.62,86,740,334,0,7,-11.200000000000001,158,10,0,161,0.364,85.93,70.42,0.97,0.8,959,0.8,199,3.2,8.2111,6.3552
2013,1,2,13,30,-9.3,1.1500000000000001,0.089,0.62,82,707,297,0,4,-11.200000000000001,42,0,0,42,0.362,86.13,72.35000000000001,0.97,0.8,959,0.7000000000000001,203,2.8000000000000003,2.1043,1.6242
2013,1,2,14,30,-9.5,1.16,0.085,0.62,68,625,212,0,4,-11.200000000000001,44,0,0,44,0.361,87.33,76.62,0.97,0.8,959,0.7000000000000001,207,2.1,2.1236,1.6271
2013,1,2,15,30,-10.200000000000001,1.19,0.084,0.62,44,433,98,0,4,-11.3,20,0,0,20,0.36,91.32000000000001,82.81,0.96,0.8,960,0.7000000000000001,212,1.4000000000000001,0.0000,0.0000
2013,1,2,16,30,-11.200000000000001,1.23,0.08,0.62,0,0,0,0,4,-12.4,0,0,0,0,0.36,90.77,90.09,0.96,0.8,960,0.6000000000000001,225,1.2000000000000002,0.0000,0.0000
2013,1,2,17,30,-11.600000000000001,1.26,0.076,0.62,0,0,0,0,4,-13.100000000000001,0,0,0,0,0.361,88.42,99.56,0.9500000000000001,0.8,961,0.6000000000000001,244,1.2000000000000002,0.0000,0.0000
2013,1,2,18,30,-11.600000000000001,1.28,0.076,0.62,0,0,0,0,4,-13.200000000000001,0,0,0,0,0.363,87.99,109.15,0.9500000000000001,0.8,961,0.6000000000000001,267,1.2000000000000002,0.0000,0.0000
2013,1,2,19,30,-11.4,1.3,0.07200000000000001,0.62,0,0,0,0,4,-13,0,0,0,0,0.368,87.96000000000001,119.16,0.9500000000000001,0.8,961,0.5,291,1.2000000000000002,0.0000,0.0000
2013,1,2,20,30,-11.200000000000001,1.33,0.066,0.62,0,0,0,0,4,-12.700000000000001,0,0,0,0,0.374,88.55,129.25,0.9500000000000001,0.8,961,0.5,310,1.4000000000000001,0.0000,0.0000
