latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.042179107666016,-95.19757080078125,449.0,-21600,America/Chicago,GMT-6

time,wind_speed_10m (m/s),wind_speed_100m (m/s),wind_direction_10m (deg),wind_direction_100m (deg),temperature_2m (degC),surface_pressure (hPa),precipitation (mm/h),relative_humidity_2m (unitless)
2022-12-31 06:00:00,6.264982,11.670903,188.25935,192.36905,-3.0735002,956.2275,0.0,87.70983
2022-12-31 07:00:00,6.5115285,12.007082,190.6196,194.9622,-2.9235,955.3123,0.0,88.05549
2022-12-31 08:00:00,6.888396,12.459535,193.43105,198.72588,-2.5235002,954.72986,0.0,88.09286
2022-12-31 09:00:00,6.9123073,12.39758,194.23732,199.31195,-2.3235002,954.4859,0.0,88.44236
2022-12-31 10:00:00,7.0405965,12.472369,191.4695,195.81926,-2.3735,954.0034,0.0,89.43749
2022-12-31 11:00:00,7.5802374,13.179529,188.34381,191.82146,-2.2735002,953.73944,0.0,90.1173
2022-12-31 12:00:00,8.039901,13.267254,185.7105,189.10725,-0.3735,952.88257,0.0,90.930534
2022-12-31 13:00:00,8.21523,13.483693,183.48926,186.38702,0.0765,952.3078,0.0,89.31021
2022-12-31 14:00:00,8.221922,13.384319,184.18483,186.43465,0.22649999,951.86395,0.0,87.377144
2022-12-31 15:00:00,7.902531,12.739309,181.45018,184.5021,0.47650003,951.72327,0.0,86.44454
2022-12-31 16:00:00,7.510659,12.24949,183.05283,185.152,0.7765,951.87573,0.1,86.47563
2022-12-31 17:00:00,7.6164293,12.192621,183.76396,187.06664,0.92649996,951.80975,0.0,86.49116
2022-12-31 18:00:00,7.156815,11.458621,187.22423,189.54445,1.1765,951.10126,0.0,87.469086
2022-12-31 19:00:00,6.6483083,10.722406,195.7087,199.61797,1.5765,950.42096,0.0,88.46617
2022-12-31 20:00:00,6.1326995,10.1965685,204.05734,206.81627,1.6265,949.7684,0.0,90.0885
2022-12-31 21:00:00,4.9739323,8.798295,210.17343,211.52213,1.4265,949.9194,0.0,91.0578
2022-12-31 22:00:00,4.080441,7.8873315,216.02747,219.3405,0.8265,950.4666,0.0,92.01442
2022-12-31 23:00:00,3.9698865,7.9630394,229.08571,234.71317,0.026500002,951.0688,0.0,92.978424
2023-01-01 00:00:00,3.88973,7.605919,223.95847,230.8696,-0.4235,951.3599,0.0,92.612785
2023-01-01 01:00:00,3.9824615,7.6550636,231.1155,236.7251,-0.5235,951.9078,0.0,92.6069
2023-01-01 02:00:00,3.939543,7.81089,246.0375,251.333,-1.7235,952.52435,0.0,91.85147
2023-01-01 03:00:00,3.7854989,7.532596,257.79956,264.66794,-2.5235002,952.745,0.0,91.45676
2023-01-01 04:00:00,3.5057096,7.1112585,266.72958,273.22446,-2.9235,952.7605,0.0,90.06633
2023-01-01 05:00:00,3.3015149,7.0859013,271.73566,278.9305,-3.8735,953.2331,0.0,89.311554
2023-01-01 06:00:00,3.324154,7.106335,276.91113,283.84073,-4.4235,953.7846,0.0,88.58703
2023-01-01 07:00:00,3.5128336,7.21734,265.10098,273.9724,-5.2235,954.2849,0.0,88.17529
2023-01-01 08:00:00,3.4014704,7.4431176,268.31534,276.17007,-5.8234997,954.54144,0.0,87.441025
2023-01-01 09:00:00,3.4058774,7.5504966,273.3664,281.4587,-6.1735,955.226,0.0,86.395485
2023-01-01 10:00:00,3.535534,7.5286117,278.13,286.9909,-6.3735,955.75214,0.0,85.70505
2023-01-01 11:00:00,3.0149627,7.05195,275.7105,288.1781,-6.9235,956.2065,0.0,85.309074
2023-01-01 12:00:00,3.1016126,7.203471,271.84756,283.65045,-4.9735,956.0358,0.0,84.22496
2023-01-01 13:00:00,3.3615472,7.940403,292.751,301.08743,-5.2235,955.9852,0.0,83.22452
2023-01-01 14:00:00,2.8792362,7.0213957,290.3232,305.72748,-5.6735,956.7445,0.0,83.81376
2023-01-01 15:00:00,2.84605,6.6610813,288.43503,305.83774,-5.2235,957.49664,0.0,84.51992
2023-01-01 16:00:00,2.657066,5.841233,289.79895,308.0471,-3.6735,958.75366,0.0,83.74177
2023-01-01 17:00:00,2.745906,4.992995,280.49142,302.7352,-2.2735002,959.6944,0.0,83.91509
2023-01-01 18:00:00,2.8635643,4.90408,257.90524,290.28265,-1.2235,960.375,0.0,86.91096
2023-01-01 19:00:00,2.7294688,4.8754487,278.42688,295.51382,-0.5735,960.50275,0.0,86.015594
2023-01-01 20:00:00,2.3600848,4.750789,306.38446,310.73203,-0.3735,960.54193,0.0,86.9966
2023-01-01 21:00:00,2.4413111,4.7801676,325.0079,322.65057,-0.77349997,961.1254,0.0,88.58149
2023-01-01 22:00:00,2.0124612,4.604346,333.43503,325.6196,-1.6735,961.60944,0.0,89.49551
2023-01-01 23:00:00,1.8384776,4.527693,337.6198,329.47037,-3.3235002,962.226,0.0,90.71611
2023-01-02 00:00:00,1.9723083,4.837354,329.53452,330.25522,-4.5235,962.0788,0.0,89.25628
